N_unmapped	409063	409063	409063
N_multimapping	1393324	1393324	1393324
N_noFeature	68172	83244	1821367
N_ambiguous	78272	38855	313
YAL069W	0	0	0
YAL068W-A	0	0	0
YAL068C	0	0	0
YAL067W-A	0	0	0
YAL067C	0	0	0
YAL066W	0	0	0
YAL065C	0	0	0
YAL064W-B	0	0	0
YAL064C-A	5	0	5
YAL064W	0	0	0
YAL063C-A	0	0	0
YAL063C	14	1	14
YAL062W	32	12	20
YAL061W	32	12	20
YAL060W	83	75	8
YAL059C-A	0	0	150
YAL059W	35	185	0
YAL058W	42	60	0
YAL056C-A	0	0	18
YAL056W	254	253	1
YAL055W	5	5	0
YAL054C	40	4	36
YAL053W	181	181	0
YAL051W	151	151	1
YAL049C	20	20	0
YAL048C	84	86	0
YAL047W-A	0	0	2
YAL047C	66	66	0
YAL046C	12	12	0
YAL045C	0	0	16
YAL044W-A	0	16	0
YAL044C	130	129	1
YAL043C	275	275	1
YAL042C-A	0	0	112
YAL042W	409	521	0
YAL041W	282	282	0
YAL040C	372	372	0
YAL039C	89	89	0
YAL038W	2954	6918	0
YAL037C-B	3	0	3967
YAL037C-A	10	0	10
YAL037W	10	8	2
YAL036C	319	319	0
YAL035W	1826	1826	0
YAL034C-B	5	0	8
YAL034W-A	31	34	0
YAL034C	55	55	0
YAL033W	38	38	0
YAL032C	96	96	0
YAL031W-A	1	0	36
YAL031C	109	144	0
YAL030W	21	21	0
YAL029C	509	509	0
YAL028W	4	4	0
YAL027W	13	13	0
YAL026C-A	0	0	0
YAL026C	237	260	0
HRA1	4	0	27
YAL025C	416	416	0
YAL024C	261	261	0
YAL023C	547	547	4
YAL022C	122	122	0
YAL021C	399	399	0
YAL020C	26	33	0
YAL019W-A	0	0	7
YAL019W	373	373	0
YAL018C	0	0	0
YAL017W	233	233	0
YAL016C-B	0	0	0
YAL016C-A	17	0	71
YAL016W	229	283	0
YAL015C	20	20	0
YAL014C	31	31	0
YAL013W	215	215	0
YAL012W	568	568	0
YAL011W	200	197	4
YAL010C	56	52	4
YAL009W	35	35	0
YAL008W	6	6	0
YAL007C	87	87	0
tP(UGG)A	3	3	0
YAL005C	111	239	0
YAL004W	0	0	128
YAL003W	1961	1961	0
snR18	11689	11693	1
YAL002W	161	161	0
YAL001C	147	147	0
YAR002W	245	245	0
YAR002C-A	67	67	0
YAR003W	87	87	0
YAR007C	116	116	0
YAR008W	22	22	0
YAR009C	61	65	0
YAR010C	4	7	0
tA(UGC)A	5	5	0
YAR014C	422	422	0
YAR015W	156	156	3
YAR018C	95	91	4
YAR019C	162	161	2
YAR019W-A	0	0	2
YAR020C	0	0	0
YAR023C	1	1	0
tL(CAA)A	5	5	0
tS(AGA)A	14	15	0
YAR027W	47	47	0
YAR028W	37	37	0
YAR029W	1	1	0
YAR030C	0	0	0
YAR031W	18	18	0
YAR033W	2	0	2
YAR035W	14	10	7
YAR035C-A	2	0	2
YAR042W	252	252	0
YAR047C	10	0	10
YAR050W	45	35	10
YAR053W	0	0	0
YAR060C	0	0	0
YAR061W	0	0	0
YAR062W	0	0	0
YAR064W	0	0	0
YAR066W	0	0	0
YAR068W	0	0	0
YAR069C	0	0	0
YAR070C	0	0	0
YAR071W	0	0	0
YAR073W	0	0	0
YAR075W	0	0	0
YBL113C	3	3	0
YBL113W-A	0	0	0
YBL112C	0	0	0
YBL111C	0	0	0
YBL109W	0	0	0
YBL108C-A	0	0	0
YBL108W	0	0	0
YBL107W-A	0	0	0
tL(UAA)B1	0	0	0
YBL107C	33	33	0
YBL106C	100	98	2
YBL105C	512	512	0
YBL104C	152	152	2
YBL103C	173	173	0
YBL102W	48	48	0
YBL101C	228	228	0
YBL100W-C	0	0	0
YBL100W-B	21	21	0
YBL100W-A	0	0	0
tF(GAA)B	14	14	0
YBL100C	106	0	165
YBL099W	428	487	0
YBL098W	24	24	0
YBL097W	190	190	0
YBL096C	0	0	10
YBL095W	3	17	0
YBL094C	0	0	4
YBL093C	169	169	0
YBL092W	1762	1762	0
YBL091C-A	17	12	5
YBL091C	229	229	0
YBL090W	32	27	5
YBL089W	66	66	0
YBL088C	133	132	10
YBL087C	419	419	0
YBL086C	109	109	0
YBL085W	298	298	0
YBL084C	131	131	0
YBL083C	0	0	0
YBL082C	45	45	1
YBL081W	320	320	0
YBL080C	31	31	0
YBL079W	655	655	1
YBL078C	23	23	0
YBL077W	0	0	161
YBL076C	1723	1889	3
YBL075C	44	43	1
YBL074C	24	34	0
YBL073W	0	0	9
snR56	7446	7458	0
YBL072C	690	690	0
YBL071C-B	0	0	0
YBL071W-A	30	32	0
YBL071C	30	0	32
YBL070C	2	0	9
YBL069W	41	39	9
YBL068W-A	0	0	0
YBL068W	130	130	0
YBL067C	256	256	0
YBL066C	208	214	6
YBL065W	0	6	6
YBL064C	22	22	0
YBL063W	137	130	8
YBL062W	0	0	35
YBL061C	165	200	0
YBL060W	62	62	0
YBL059C-A	22	22	0
YBL059W	27	27	0
YBL058W	205	205	0
YBL057C	51	51	0
YBL056W	233	231	3
YBL055C	120	117	3
YBL054W	599	599	0
YBL053W	0	0	44
YBL052C	181	222	3
YBL051C	337	337	0
YBL050W	113	113	0
YBL049W	11	3	8
YBL048W	2	0	2
YBL047C	739	739	0
YBL046W	91	91	0
YBL045C	266	261	5
YBL044W	0	0	0
YBL043W	10	10	0
YBL042C	535	534	1
YBL041W	183	183	0
YBL040C	58	58	0
YBL039W-B	7	7	0
YBL039C	836	835	1
YBL039C-A	0	0	0
YBL038W	74	74	1
YBL037W	199	199	0
YBL036C	84	84	0
YBL035C	176	176	0
YBL034C	200	200	3
YBL033C	92	93	0
YBL032W	225	225	1
YBL031W	34	34	0
YBL030C	414	414	0
YBL029C-A	4	4	0
YBL029W	19	11	8
YBL028C	148	148	0
YBL027W	710	710	0
YBL026W	48	48	0
YBL025W	41	41	0
YBL024W	581	580	1
YBL023C	176	175	1
YBL022C	664	665	0
YBL021C	24	24	0
YBL020W	88	88	0
YBL019W	37	35	2
YBL018C	9	9	0
YBL017C	566	566	0
YBL016W	234	234	0
YBL015W	49	49	0
tI(AAU)B	0	0	0
tG(GCC)B	0	0	0
YBL014C	288	285	3
YBL013W	47	47	0
YBL012C	0	0	38
YBL011W	404	442	0
YBL010C	259	259	1
YBL009W	115	115	0
YBL008W-A	0	0	0
YBL008W	131	131	1
YBL007C	555	556	0
YBL006C	66	85	0
YBL006W-A	0	0	19
YBL005W	139	113	26
YBL005W-B	58	59	0
YBL005W-A	0	0	0
tS(AGA)B	25	25	0
YBL004W	1531	1536	0
YBL003C	288	288	0
YBL002W	554	554	0
YBL001C	68	68	0
YBR001C	102	102	0
YBR002C	127	127	0
YBR003W	94	94	1
YBR004C	69	69	0
YBR005W	53	53	0
YBR006W	5	3	2
YBR007C	229	230	0
YBR008C	27	27	0
YBR009C	559	559	4
YBR010W	363	364	0
YBR011C	772	772	0
YBR012C	26	26	0
YBR012W-B	53	53	0
YBR012W-A	0	0	0
YBR013C	7	7	0
tT(AGU)B	1	1	0
YBR014C	72	72	0
YBR015C	219	219	0
YBR016W	106	106	0
YBR017C	415	415	0
YBR018C	0	0	0
YBR019C	18	0	19
YBR020W	6	1	5
YBR021W	103	100	3
YBR022W	52	52	0
YBR023C	348	348	0
YBR024W	24	22	2
YBR025C	722	720	2
YBR026C	71	71	0
YBR027C	0	0	0
YBR028C	123	123	0
YBR029C	115	115	0
YBR030W	148	140	8
YBR031W	410	410	1
YBR032W	0	0	0
YBR033W	25	0	25
YBR034C	385	385	0
YBR035C	83	71	12
snR161	117	116	1
TLC1	1084	1076	10
YBR036C	107	107	1
YBR037C	31	29	2
YBR038W	343	343	0
YBR039W	156	156	0
YBR040W	8	8	0
YBR041W	169	169	0
YBR042C	31	31	0
YBR043C	83	83	0
YBR044C	77	77	0
tV(UAC)B	1	1	0
YBR045C	26	26	0
YBR046C	46	46	0
YBR047W	6	6	0
YBR048W	635	635	0
YBR049C	442	442	0
YBR050C	0	4	0
YBR051W	1	0	4
YBR052C	61	61	0
YBR053C	31	31	0
YBR054W	61	61	0
YBR055C	211	211	0
tL(UAA)B2	12	12	0
YBR056W	28	28	0
tQ(UUG)B	449	449	0
YBR056W-A	0	4	0
YBR056C-B	0	0	4
YBR057C	112	112	0
YBR058C	188	188	0
YBR058C-A	109	109	0
YBR059C	374	375	0
YBR060C	169	162	7
YBR061C	173	173	0
YBR062C	14	14	0
YBR063C	20	38	0
YBR064W	0	0	18
YBR065C	46	46	0
YBR066C	70	68	2
YBR067C	350	347	3
YBR068C	1368	1362	6
YBR069C	660	659	1
YBR070C	12	12	0
YBR071W	77	77	0
YBR072W	20	20	0
YBR072C-A	0	0	0
YBR073W	280	280	0
YBR074W	331	331	0
YBR076W	2	1	2
YBR076C-A	0	0	0
YBR077C	27	27	0
YBR078W	1155	1155	0
YBR079C	1594	1595	1
YBR080C	220	220	1
YBR081C	391	391	0
tR(UCU)B	0	0	0
tD(GUC)B	0	0	0
YBR082C	279	279	0
YBR083W	487	487	0
YBR084W	1534	1534	0
YBR084C-A	878	878	0
YBR085W	18	18	0
YBR085C-A	9	9	0
YBR086C	830	830	0
YBR087W	53	53	0
YBR088C	0	53	0
YBR089W	0	0	53
YBR089C-A	21	21	0
YBR090C	0	0	0
YBR091C	14	11	3
YBR092C	384	380	4
YBR093C	47	18	31
YBR094W	143	143	0
YBR095C	88	87	1
YBR096W	74	72	2
YBR097W	233	233	1
YBR098W	62	69	14
YBR099C	0	8	13
YBR101C	123	123	0
YBR102C	167	167	0
YBR103W	51	51	0
YBR103C-A	0	0	0
YBR104W	36	36	0
YBR105C	100	100	0
YBR106W	325	325	0
YBR107C	29	25	4
YBR108W	88	82	7
YBR109C	100	100	0
YBR109W-A	5	5	0
YBR110W	95	95	0
YBR111C	57	57	0
YBR111W-A	26	26	0
YBR112C	792	805	0
YBR113W	25	0	39
YBR114W	93	93	0
YBR115C	362	362	0
YBR116C	1	0	1
YBR117C	9	3	6
YBR118W	787	791	0
YBR119W	39	39	0
